X,beta,r0,eta0,zeta0,Xout
dt=3fb604e3e700545d
3f50624dd2f1a9fc,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fdb8eec509d7bf3
3fa661b807058f11,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fdd0c746947b8b7
3fb6202ecfb9c869,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fde95395958a152
3fc087c0cdf864a5,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe01597542b5d82
3fc5ff6a3413e515,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe0e877dff4d439
3fcb77139a2f6585,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe1c5050ab5b4fd
3fd0775e802572fb,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe2adb94cce5518
3fd3333333333333,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe3a62386ec063e
3f50624dd2f1a9fc,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fdb8eec5092f498
3fa661b807058f11,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fdd0c66738a6d1c
3fb6202ecfb9c869,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fde94c883bd4ea8
3fc087c0cdf864a5,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe014d13e032542
3fc5ff6a3413e515,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe0e688de17ac1b
3fcb77139a2f6585,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe1c0fe29935dc0
3fd0775e802572fb,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe2a636a813b170
3fd3333333333333,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe39914db4a4f5c
3f50624dd2f1a9fc,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fdb8eec50886d3c
3fa661b807058f11,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fdd0c587e2581b1
3fb6202ecfb9c869,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fde9457baec051f
3fc087c0cdf864a5,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe0140b6271d318
3fc5ff6a3413e515,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe0e49b0adf15a5
3fcb77139a2f6585,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe1bcfbc3bb845d
3fd0775e802572fb,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe29ec2137d0c66
